epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,259.345,0.73126,1.1949,1.43813,1,0.875,0.9374,0.76042,1.08226,1.10632,1.70316,0.000274192,0.000274192,0.000274192
73,263.095,0.75824,1.24594,1.45928,1,0.875,0.9374,0.74856,1.07721,1.26742,1.65568,0.000263159,0.000263159,0.000263159
74,267.038,0.73831,1.18163,1.4342,1,0.875,0.9374,0.73362,1.1344,1.36982,1.68458,0.00025241,0.00025241,0.00025241
75,271.042,0.75232,1.20764,1.45134,1,0.875,0.9374,0.74481,1.05152,1.67067,1.60163,0.000241954,0.000241954,0.000241954
76,275.027,0.68233,1.08332,1.40487,1,0.875,0.9374,0.75068,1.01498,1.71096,1.60821,0.000231802,0.000231802,0.000231802
77,278.998,0.71459,1.13017,1.42245,1,0.875,0.9374,0.7661,1.03815,1.44046,1.64102,0.000221964,0.000221964,0.000221964
78,282.96,0.7199,1.15151,1.42791,1,0.875,0.9374,0.77076,1.07734,1.17231,1.68511,0.00021245,0.00021245,0.00021245
79,286.278,0.71879,1.14846,1.4256,1,0.875,0.9374,0.777,1.03327,1.03852,1.67587,0.000203269,0.000203269,0.000203269
80,290.054,0.7389,1.18706,1.45896,1,0.875,0.9374,0.76444,1.02592,1.18812,1.6501,0.00019443,0.00019443,0.00019443
81,332.019,0.462,0.70488,1.25755,1,0.875,0.9374,0.75654,1.04996,1.16531,1.65291,0.000185942,0.000185942,0.000185942
82,335.55,0.48568,0.69869,1.28128,1,0.875,0.9374,0.7644,1.02311,1.1535,1.64175,0.000177814,0.000177814,0.000177814
83,339.34,0.46503,0.65866,1.26788,1,0.875,0.9374,0.75276,1.05864,1.09338,1.69459,0.000170052,0.000170052,0.000170052
84,342.825,0.45887,0.66446,1.25444,1,0.875,0.9374,0.77697,1.00636,1.05079,1.67001,0.000162666,0.000162666,0.000162666
85,346.077,0.45126,0.62865,1.26864,1,0.875,0.9374,0.76172,1.04654,1.04411,1.7329,0.000155662,0.000155662,0.000155662
86,349.321,0.44753,0.62777,1.25109,1,0.875,0.9374,0.76658,0.99437,1.23608,1.68633,0.000149047,0.000149047,0.000149047
87,352.598,0.4357,0.60908,1.25197,1,0.875,0.9374,0.77589,0.9837,1.21681,1.66727,0.000142828,0.000142828,0.000142828
88,356.228,0.42443,0.58661,1.23416,1,0.875,0.9374,0.76338,1.02889,1.17923,1.72372,0.00013701,0.00013701,0.00013701
89,359.808,0.45396,0.60049,1.26091,1,0.875,0.9374,0.76551,1.05331,1.11327,1.74473,0.000131601,0.000131601,0.000131601
90,363.25,0.40693,0.57938,1.21245,1,0.875,0.9374,0.76008,1.03228,1.14553,1.75161,0.000126604,0.000126604,0.000126604
91,366.828,0.41041,0.56551,1.21924,1,0.875,0.9374,0.76826,0.99383,1.09544,1.71956,0.000122025,0.000122025,0.000122025
92,370.458,0.41788,0.57984,1.22814,1,0.875,0.9374,0.75931,1.0254,1.12005,1.73932,0.000117868,0.000117868,0.000117868
93,374.116,0.39983,0.56897,1.22616,1,0.875,0.9374,0.77498,0.99893,1.10988,1.71186,0.000114138,0.000114138,0.000114138
94,377.832,0.41199,0.55022,1.22237,1,0.875,0.9374,0.77288,0.98841,1.05385,1.67891,0.000110837,0.000110837,0.000110837
95,381.431,0.39576,0.56239,1.22055,1,0.875,0.9374,0.76127,1.02101,1.13907,1.65412,0.000107971,0.000107971,0.000107971
96,385.365,0.41612,0.55836,1.2364,1,0.875,0.9374,0.76397,1.01661,1.0978,1.62224,0.00010554,0.00010554,0.00010554
97,388.968,0.40114,0.55878,1.23492,1,0.875,0.9374,0.7503,1.00641,1.08902,1.66655,0.000103548,0.000103548,0.000103548
98,392.924,0.38033,0.53117,1.20326,1,0.875,0.9374,0.75942,0.98427,1.15242,1.66921,0.000101997,0.000101997,0.000101997
99,396.715,0.3837,0.54451,1.20767,1,0.875,0.9374,0.77472,1.0168,1.05084,1.69795,0.000100888,0.000100888,0.000100888
100,400.176,0.38002,0.53646,1.21717,1,0.875,0.9374,0.75781,1.01536,1.09714,1.68802,0.000100222,0.000100222,0.000100222
